run
Actual Height, Calculated Height, A, Pixel Height, Actual Skew Factor, Calculated Skew Factor, Percent Error, Distance
2.575000e+01, 2.724682e+01, 16, -7, 2.857143e-01, 7.188305e-02, 7.484093e-01, 16
2.575000e+01, 2.467427e+01, 18, 68, 0, -1.581956e-02, Inf, 18
2.575000e+01, 2.271803e+01, 20, 150, 1.333333e-02, -6.879821e-03, 1.515987e+00, 20
2.575000e+01, 2.119733e+01, 22, 221, 1.809955e-02, -2.500761e-03, 1.138167e+00, 22
2.575000e+01, 1.996299e+01, 24, 294, 2.040816e-02, 7.244514e-04, 9.645019e-01, 24
2.575000e+01, 1.896475e+01, 2.600000e+01, 369, 2.168022e-02, 3.292002e-03, 8.481564e-01, 26
2.575000e+01, 1.781148e+01, 28, 424, 2.358491e-02, 4.861988e-03, 7.938517e-01, 28
2.575000e+01, 1.653029e+01, 30, 467, 2.569593e-02, 5.953521e-03, 7.683088e-01, 30
diary off
